date,station,area,pm25,pm10,no2,so2,o3
2026-07-14,Gandhipuram-CCMC,Gandhipuram,55.7,89.1,33.3,8.8,33.1
2026-07-14,Hopes-AvinashiRoad,Hopes College,47.4,81.6,23.3,7.1,27.5
2026-07-14,PSG-Tech-Peelamedu,Peelamedu,52.7,90.9,25.0,6.7,27.5
2026-07-14,RS Puram-WestZone,RS Puram,54.1,90.4,26.3,7.6,25.4
2026-07-14,Ramanathapuram-Nanjundapuram,Ramanathapuram,47.4,82.5,27.9,6.2,25.3
2026-07-14,Saibaba-MettupalayamRoad,Saibaba Colony,50.8,75.0,27.5,7.3,31.9
2026-07-14,Saravanampatti-CHILSEZ,Saravanampatti,54.7,94.7,34.2,8.8,29.0
2026-07-14,Singanallur-TrichyRoad,Singanallur,52.1,80.5,25.2,7.1,28.3
2026-07-14,TownHall-DistrictCourt,Town Hall,60.9,106.9,29.3,9.6,30.8
2026-07-14,Ukkadam-BusStand,Ukkadam,57.7,102.5,29.6,9.6,24.3
2026-07-15,Gandhipuram-CCMC,Gandhipuram,53.6,75.3,30.5,9.1,24.9
2026-07-15,Hopes-AvinashiRoad,Hopes College,37.4,57.5,21.4,4.8,27.6
2026-07-15,PSG-Tech-Peelamedu,Peelamedu,44.3,71.0,25.9,6.8,24.5
2026-07-15,RS Puram-WestZone,RS Puram,46.3,72.5,25.8,7.7,23.7
2026-07-15,Ramanathapuram-Nanjundapuram,Ramanathapuram,48.3,80.2,23.6,6.2,17.9
2026-07-15,Saibaba-MettupalayamRoad,Saibaba Colony,49.3,79.1,22.6,7.8,19.8
2026-07-15,Saravanampatti-CHILSEZ,Saravanampatti,58.7,103.8,31.1,8.4,24.3
2026-07-15,Singanallur-TrichyRoad,Singanallur,40.5,60.3,20.2,7.1,26.9
2026-07-15,TownHall-DistrictCourt,Town Hall,58.7,104.0,30.1,7.9,24.3
2026-07-15,Ukkadam-BusStand,Ukkadam,48.8,75.6,31.9,10.0,27.2
2026-07-16,Gandhipuram-CCMC,Gandhipuram,58.7,101.0,30.7,8.3,20.8
2026-07-16,Hopes-AvinashiRoad,Hopes College,44.8,78.2,28.2,6.9,31.2
2026-07-16,PSG-Tech-Peelamedu,Peelamedu,43.3,77.7,24.3,6.3,29.2
2026-07-16,RS Puram-WestZone,RS Puram,45.1,78.6,24.0,7.2,25.0
2026-07-16,Ramanathapuram-Nanjundapuram,Ramanathapuram,35.7,61.7,22.4,7.7,25.2
2026-07-16,Saibaba-MettupalayamRoad,Saibaba Colony,43.2,61.7,24.0,7.6,22.7
2026-07-16,Saravanampatti-CHILSEZ,Saravanampatti,50.2,77.8,25.4,6.5,26.4
2026-07-16,Singanallur-TrichyRoad,Singanallur,41.4,62.9,22.4,6.0,25.2
2026-07-16,TownHall-DistrictCourt,Town Hall,58.4,96.6,32.7,9.2,30.6
2026-07-16,Ukkadam-BusStand,Ukkadam,62.7,92.0,31.1,10.2,26.9
2026-07-17,Gandhipuram-CCMC,Gandhipuram,65.5,99.3,30.2,7.9,24.7
2026-07-17,Hopes-AvinashiRoad,Hopes College,49.1,82.3,25.5,6.9,26.8
2026-07-17,PSG-Tech-Peelamedu,Peelamedu,58.9,99.9,23.5,6.1,30.8
2026-07-17,RS Puram-WestZone,RS Puram,45.8,71.0,22.9,6.3,29.2
2026-07-17,Ramanathapuram-Nanjundapuram,Ramanathapuram,53.4,75.7,25.5,6.8,25.9
2026-07-17,Saibaba-MettupalayamRoad,Saibaba Colony,50.8,91.1,24.5,8.1,27.8
2026-07-17,Saravanampatti-CHILSEZ,Saravanampatti,70.3,103.8,26.8,9.4,30.9
2026-07-17,Singanallur-TrichyRoad,Singanallur,51.0,77.8,22.6,5.8,33.5
2026-07-17,TownHall-DistrictCourt,Town Hall,69.5,119.9,29.5,8.1,28.6
2026-07-17,Ukkadam-BusStand,Ukkadam,60.8,92.4,28.1,9.3,34.5
2026-07-18,Gandhipuram-CCMC,Gandhipuram,76.7,132.7,41.9,10.6,22.5
2026-07-18,Hopes-AvinashiRoad,Hopes College,44.1,63.7,22.6,6.1,29.2
2026-07-18,PSG-Tech-Peelamedu,Peelamedu,39.7,56.5,23.2,5.1,28.6
2026-07-18,RS Puram-WestZone,RS Puram,42.3,61.7,20.8,5.9,26.1
2026-07-18,Ramanathapuram-Nanjundapuram,Ramanathapuram,39.3,59.9,20.5,6.4,31.8
2026-07-18,Saibaba-MettupalayamRoad,Saibaba Colony,45.0,72.6,22.4,5.7,25.6
2026-07-18,Saravanampatti-CHILSEZ,Saravanampatti,40.5,62.7,20.3,5.2,30.4
2026-07-18,Singanallur-TrichyRoad,Singanallur,52.5,74.5,22.6,6.3,21.8
2026-07-18,TownHall-DistrictCourt,Town Hall,85.9,151.8,37.7,9.4,24.2
2026-07-18,Ukkadam-BusStand,Ukkadam,61.9,98.8,30.4,8.9,26.1
2026-07-19,Gandhipuram-CCMC,Gandhipuram,79.6,137.3,35.5,9.0,22.3
2026-07-19,Hopes-AvinashiRoad,Hopes College,44.0,75.6,23.7,6.5,29.8
2026-07-19,PSG-Tech-Peelamedu,Peelamedu,48.6,84.5,22.3,5.8,27.7
2026-07-19,RS Puram-WestZone,RS Puram,53.1,83.9,19.2,5.7,31.9
2026-07-19,Ramanathapuram-Nanjundapuram,Ramanathapuram,38.6,65.6,21.8,5.1,28.7
2026-07-19,Saibaba-MettupalayamRoad,Saibaba Colony,50.7,80.8,19.9,5.7,20.3
2026-07-19,Saravanampatti-CHILSEZ,Saravanampatti,41.7,70.2,21.3,5.6,23.2
2026-07-19,Singanallur-TrichyRoad,Singanallur,43.4,60.8,20.4,6.9,24.5
2026-07-19,TownHall-DistrictCourt,Town Hall,72.8,106.4,37.1,10.2,32.7
2026-07-19,Ukkadam-BusStand,Ukkadam,60.8,108.8,28.4,6.2,30.7
2026-07-20,Gandhipuram-CCMC,Gandhipuram,60.5,106.4,31.7,8.5,24.7
2026-07-20,Hopes-AvinashiRoad,Hopes College,52.2,81.3,27.2,8.1,26.8
2026-07-20,PSG-Tech-Peelamedu,Peelamedu,52.7,75.6,23.1,7.4,28.3
2026-07-20,RS Puram-WestZone,RS Puram,48.5,71.1,22.0,7.4,32.5
2026-07-20,Ramanathapuram-Nanjundapuram,Ramanathapuram,44.9,66.7,26.0,7.2,26.3
2026-07-20,Saibaba-MettupalayamRoad,Saibaba Colony,54.7,91.2,24.5,7.5,26.8
2026-07-20,Saravanampatti-CHILSEZ,Saravanampatti,63.3,102.0,30.7,8.1,28.1
2026-07-20,Singanallur-TrichyRoad,Singanallur,51.2,83.2,20.6,6.2,28.1
2026-07-20,TownHall-DistrictCourt,Town Hall,71.0,126.9,28.4,9.1,27.6
2026-07-20,Ukkadam-BusStand,Ukkadam,65.6,96.9,34.0,9.7,31.5
2026-07-21,Gandhipuram-CCMC,Gandhipuram,70.7,113.9,38.5,9.6,22.2
2026-07-21,Hopes-AvinashiRoad,Hopes College,53.4,78.7,21.8,6.6,26.0
2026-07-21,PSG-Tech-Peelamedu,Peelamedu,51.4,77.7,29.0,5.7,30.7
2026-07-21,RS Puram-WestZone,RS Puram,42.4,71.9,24.0,7.0,26.8
2026-07-21,Ramanathapuram-Nanjundapuram,Ramanathapuram,54.7,76.8,22.9,8.2,29.5
2026-07-21,Saibaba-MettupalayamRoad,Saibaba Colony,48.2,86.2,23.7,8.9,29.6
2026-07-21,Saravanampatti-CHILSEZ,Saravanampatti,63.4,99.6,26.3,8.0,30.3
2026-07-21,Singanallur-TrichyRoad,Singanallur,50.4,86.1,19.9,6.8,26.4
2026-07-21,TownHall-DistrictCourt,Town Hall,75.2,113.2,31.8,8.6,28.2
2026-07-21,Ukkadam-BusStand,Ukkadam,79.0,128.6,28.8,7.9,25.1
2026-07-22,Gandhipuram-CCMC,Gandhipuram,35.2,50.7,21.0,10.2,28.2
