date,temperature,humidity,rainfall,wind_speed
2026-07-14,27.4,83,0.0,14.0
2026-07-15,25.4,63,0.0,18.0
2026-07-16,29.4,77,0.0,19.5
2026-07-17,31.5,65,0.0,7.8
2026-07-18,26.7,73,0.0,9.4
2026-07-19,29.5,63,0.0,10.5
2026-07-20,28.1,79,0.0,12.7
2026-07-21,29.3,61,0.0,7.6
2026-07-22,24.6,83,24.8,9.6
2026-07-23,24.9,77,0.0,6.8
2026-07-24,28.5,60,4.5,14.9
2026-07-25,26.8,73,0.0,7.8
2026-07-26,32.7,79,33.8,14.0
2026-07-27,32.3,62,0.0,5.7
2026-07-28,26.9,69,0.0,17.4
2026-07-29,27.2,67,0.0,7.1
2026-07-30,31.2,61,22.2,8.0
2026-07-31,24.0,80,0.0,15.9
2026-08-01,30.9,61,0.0,6.7
2026-08-02,31.8,75,0.0,6.0
2026-08-03,26.8,68,0.0,14.6
2026-08-04,32.0,71,0.0,15.7
2026-08-05,30.8,74,0.0,12.4
2026-08-06,28.7,70,0.0,6.6
2026-08-07,24.3,75,0.0,12.6
2026-08-08,32.2,66,0.0,16.3
2026-08-09,26.1,61,0.0,7.4
2026-08-10,32.4,80,0.0,18.1
2026-08-11,31.2,64,11.6,17.1
2026-08-12,32.1,67,0.0,8.4
