area,business_count,commercial_category,estimated_footfall
Gandhipuram,530,Shopping Mall / High Street,29600
RS Puram,133,Educational & Residential,5042
Saravanampatti,223,IT & Corporate Offices,13349
Peelamedu,319,Shopping Mall / High Street,21969
Town Hall,629,Retail & Markets,36733
Ukkadam,393,Retail & Markets,34972
Singanallur,171,Educational & Residential,9527
Saibaba Colony,149,Educational & Residential,8401
Ramanathapuram,145,Educational & Residential,8185
Hopes College,396,Shopping Mall / High Street,17285
